T:3.202968e+00 E:4.592502e+03 P:4.461312e+01 r2:1.334177e-01
T:3.204501e+00 E:4.592495e+03 P:4.460203e+01 r2:1.338875e-01
T:3.206484e+00 E:4.592471e+03 P:4.458799e+01 r2:1.343574e-01
T:3.208867e+00 E:4.592465e+03 P:4.457067e+01 r2:1.348274e-01
T:3.211589e+00 E:4.592441e+03 P:4.455127e+01 r2:1.352975e-01
T:3.214584e+00 E:4.592417e+03 P:4.452899e+01 r2:1.357679e-01
T:3.217791e+00 E:4.592384e+03 P:4.450428e+01 r2:1.362385e-01
T:3.221157e+00 E:4.592367e+03 P:4.447779e+01 r2:1.367094e-01
T:3.224640e+00 E:4.592364e+03 P:4.445029e+01 r2:1.371807e-01
T:3.228215e+00 E:4.592339e+03 P:4.442194e+01 r2:1.376523e-01
T:3.231870e+00 E:4.592343e+03 P:4.439241e+01 r2:1.381244e-01
T:3.235600e+00 E:4.592351e+03 P:4.436266e+01 r2:1.385968e-01
T:3.239411e+00 E:4.592373e+03 P:4.433246e+01 r2:1.390697e-01
T:3.243309e+00 E:4.592365e+03 P:4.430176e+01 r2:1.395431e-01
T:3.247293e+00 E:4.592336e+03 P:4.427028e+01 r2:1.400169e-01
T:3.251357e+00 E:4.592332e+03 P:4.423789e+01 r2:1.404912e-01
T:3.255481e+00 E:4.592304e+03 P:4.420507e+01 r2:1.409659e-01
T:3.259635e+00 E:4.592306e+03 P:4.417204e+01 r2:1.414412e-01
T:3.263777e+00 E:4.592275e+03 P:4.413969e+01 r2:1.419169e-01
T:3.267853e+00 E:4.592256e+03 P:4.410755e+01 r2:1.423932e-01
T:3.271807e+00 E:4.592257e+03 P:4.407592e+01 r2:1.428700e-01
T:3.275574e+00 E:4.592247e+03 P:4.404557e+01 r2:1.433475e-01
T:3.279086e+00 E:4.592246e+03 P:4.401695e+01 r2:1.438255e-01
T:3.282275e+00 E:4.592252e+03 P:4.399162e+01 r2:1.443042e-01
T:3.285070e+00 E:4.592219e+03 P:4.397048e+01 r2:1.447835e-01
T:3.287402e+00 E:4.592209e+03 P:4.395341e+01 r2:1.452635e-01
T:3.289207e+00 E:4.592200e+03 P:4.393949e+01 r2:1.457443e-01
T:3.290426e+00 E:4.592215e+03 P:4.393002e+01 r2:1.462259e-01
T:3.291013e+00 E:4.592195e+03 P:4.392513e+01 r2:1.467082e-01
T:3.290934e+00 E:4.592220e+03 P:4.392530e+01 r2:1.471913e-01
T:3.290169e+00 E:4.592251e+03 P:4.393139e+01 r2:1.476752e-01
T:3.288719e+00 E:4.592243e+03 P:4.394285e+01 r2:1.481600e-01
T:3.286602e+00 E:4.592252e+03 P:4.395841e+01 r2:1.486456e-01
T:3.283856e+00 E:4.592263e+03 P:4.397877e+01 r2:1.491320e-01
T:3.280539e+00 E:4.592267e+03 P:4.400371e+01 r2:1.496192e-01
T:3.276726e+00 E:4.592285e+03 P:4.403178e+01 r2:1.501072e-01
T:3.272511e+00 E:4.592318e+03 P:4.406211e+01 r2:1.505960e-01
T:3.268001e+00 E:4.592355e+03 P:4.409489e+01 r2:1.510855e-01
T:3.263319e+00 E:4.592365e+03 P:4.412924e+01 r2:1.515756e-01
T:3.258592e+00 E:4.592408e+03 P:4.416335e+01 r2:1.520664e-01
T:3.253958e+00 E:4.592437e+03 P:4.419684e+01 r2:1.525579e-01
T:3.249552e+00 E:4.592458e+03 P:4.422923e+01 r2:1.530499e-01
T:3.245509e+00 E:4.592472e+03 P:4.425934e+01 r2:1.535424e-01
T:3.241952e+00 E:4.592551e+03 P:4.428619e+01 r2:1.540355e-01
T:3.238994e+00 E:4.592603e+03 P:4.430885e+01 r2:1.545291e-01
T:3.236724e+00 E:4.592628e+03 P:4.432657e+01 r2:1.550233e-01
T:3.235207e+00 E:4.592621e+03 P:4.433918e+01 r2:1.555179e-01
T:3.234474e+00 E:4.592584e+03 P:4.434707e+01 r2:1.560131e-01
T:3.234520e+00 E:4.592574e+03 P:4.434968e+01 r2:1.565089e-01
T:3.235300e+00 E:4.592536e+03 P:4.434738e+01 r2:1.570053e-01
T:3.236730e+00 E:4.592532e+03 P:4.433985e+01 r2:1.575024e-01
T:3.238693e+00 E:4.592510e+03 P:4.432803e+01 r2:1.580003e-01
T:3.241043e+00 E:4.592485e+03 P:4.431298e+01 r2:1.584990e-01
T:3.243624e+00 E:4.592465e+03 P:4.429646e+01 r2:1.589987e-01
T:3.246276e+00 E:4.592443e+03 P:4.428007e+01 r2:1.594994e-01
T:3.248854e+00 E:4.592418e+03 P:4.426505e+01 r2:1.600013e-01
T:3.251236e+00 E:4.592409e+03 P:4.425142e+01 r2:1.605044e-01
T:3.253334e+00 E:4.592411e+03 P:4.424014e+01 r2:1.610088e-01
T:3.255097e+00 E:4.592438e+03 P:4.423069e+01 r2:1.615145e-01
T:3.256515e+00 E:4.592460e+03 P:4.422233e+01 r2:1.620217e-01
T:3.257613e+00 E:4.592439e+03 P:4.421579e+01 r2:1.625304e-01
T:3.258443e+00 E:4.592439e+03 P:4.421078e+01 r2:1.630406e-01
T:3.259079e+00 E:4.592485e+03 P:4.420593e+01 r2:1.635524e-01
T:3.259606e+00 E:4.592540e+03 P:4.420096e+01 r2:1.640658e-01
T:3.260107e+00 E:4.592547e+03 P:4.419608e+01 r2:1.645808e-01
T:3.260661e+00 E:4.592573e+03 P:4.418991e+01 r2:1.650974e-01
T:3.261326e+00 E:4.592577e+03 P:4.418198e+01 r2:1.656156e-01
T:3.262146e+00 E:4.592545e+03 P:4.417281e+01 r2:1.661355e-01
T:3.263138e+00 E:4.592535e+03 P:4.416271e+01 r2:1.666571e-01
T:3.264301e+00 E:4.592496e+03 P:4.415123e+01 r2:1.671804e-01
T:3.265612e+00 E:4.592488e+03 P:4.413934e+01 r2:1.677054e-01
T:3.267034e+00 E:4.592462e+03 P:4.412716e+01 r2:1.682321e-01
T:3.268522e+00 E:4.592435e+03 P:4.411451e+01 r2:1.687606e-01
T:3.270029e+00 E:4.592419e+03 P:4.410133e+01 r2:1.692908e-01
T:3.271513e+00 E:4.592456e+03 P:4.408834e+01 r2:1.698228e-01
T:3.272942e+00 E:4.592464e+03 P:4.407529e+01 r2:1.703565e-01
T:3.274299e+00 E:4.592482e+03 P:4.406310e+01 r2:1.708921e-01
T:3.275585e+00 E:4.592474e+03 P:4.405199e+01 r2:1.714294e-01
T:3.276814e+00 E:4.592480e+03 P:4.404123e+01 r2:1.719685e-01
T:3.278014e+00 E:4.592471e+03 P:4.403025e+01 r2:1.725093e-01
T:3.279222e+00 E:4.592487e+03 P:4.401907e+01 r2:1.730519e-01
T:3.280476e+00 E:4.592495e+03 P:4.400743e+01 r2:1.735962e-01
T:3.281808e+00 E:4.592551e+03 P:4.399470e+01 r2:1.741422e-01
T:3.283240e+00 E:4.592554e+03 P:4.398144e+01 r2:1.746899e-01
T:3.284779e+00 E:4.592564e+03 P:4.396811e+01 r2:1.752394e-01
T:3.286420e+00 E:4.592598e+03 P:4.395464e+01 r2:1.757905e-01
